datetime,open,high,low,close,volume,Prev_High,Prev_Low,London_High,London_Low,swept_Prev_High,swept_Prev_Low,gap_up,gap_down,broke_Asia_High,broke_Asia_Low,London_Bias,NY_Position_vs_London,London_Momentum
2025-03-27 00:00:00-04:00,568.0,568.89,567.23,567.7,32117,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 00:15:00-04:00,567.7,568.46,567.7,568.42,21858,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 00:30:00-04:00,568.48,568.95,568.42,568.65,19445,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 00:45:00-04:00,568.65,569.32,568.26,569.32,9714,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 01:00:00-04:00,569.33,569.37,568.87,569.1,8300,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 01:15:00-04:00,569.11,569.49,568.82,569.45,8521,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 01:30:00-04:00,569.46,569.5,569.0,569.19,13561,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 01:45:00-04:00,569.21,569.62,569.19,569.45,9939,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 02:00:00-04:00,569.47,569.88,569.34,569.59,16490,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 02:15:00-04:00,569.62,569.63,569.22,569.33,20417,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 02:30:00-04:00,569.33,569.48,569.04,569.21,4867,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 02:45:00-04:00,569.16,569.22,568.29,568.31,25222,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 03:00:00-04:00,568.35,568.88,568.05,568.23,46915,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 03:15:00-04:00,568.27,568.4,567.39,567.47,53582,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 03:30:00-04:00,567.47,568.33,567.47,568.2,66836,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 03:45:00-04:00,568.21,568.83,568.16,568.67,22458,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 04:00:00-04:00,568.5077,570.0,567.249,568.33,178330,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 04:15:00-04:00,568.285,568.4,567.86,567.91,44516,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 04:30:00-04:00,568.1,568.98,568.0109,568.29,93593,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 04:45:00-04:00,568.291,568.59,567.91,568.13,56088,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 05:00:00-04:00,568.13,577.305,567.63,567.665,34030,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 05:15:00-04:00,567.63,567.77,566.85,567.125,159802,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 05:30:00-04:00,567.18,567.52,564.94,565.5653,2912433,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 05:45:00-04:00,565.56,568.43,565.56,568.33,3015411,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 06:00:00-04:00,568.31,569.07,567.53,568.87,1911674,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 06:15:00-04:00,568.89,569.58,568.23,569.52,1020265,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
2025-03-27 06:30:00-04:00,569.52,570.6,569.25,570.41,1736505,,,577.305,564.94,False,False,False,False,False,False,up,-1.0500000000000682,0.00040492957746482075
