"timestamp","open","high","low","close","volume"
"2025-04-25 20:00:00","550.6400","550.6400","550.6400","550.6400","1571349"
"2025-04-25 19:45:00","551.1000","551.2500","551.0600","551.2293","16162"
"2025-04-25 19:30:00","551.1250","551.1700","550.7000","551.1200","7317"
"2025-04-25 19:15:00","551.0800","551.1500","550.9900","551.1090","8679"
"2025-04-25 19:00:00","551.1400","551.1500","550.8500","551.0600","7862"
"2025-04-25 18:45:00","551.0000","551.1500","550.9400","551.1000","12357"
"2025-04-25 18:30:00","550.6400","551.0487","550.6400","551.0472","1601428"
"2025-04-25 18:15:00","550.6300","550.8300","550.5700","550.8000","11395"
"2025-04-25 18:00:00","550.6800","550.7000","550.5650","550.6200","41155"
"2025-04-25 17:45:00","550.9400","551.0000","550.5900","550.6953","28487"
"2025-04-25 17:30:00","551.0730","551.1000","550.6400","550.9800","567966"
"2025-04-25 17:15:00","551.0000","551.0750","550.8200","550.9500","82988"
"2025-04-25 17:00:00","550.8500","588.3531","523.4996","551.0100","242639"
"2025-04-25 16:45:00","550.7900","575.3941","516.4665","550.8600","38487"
"2025-04-25 16:30:00","550.8200","551.7700","550.5500","550.8400","157039"
"2025-04-25 16:15:00","551.0299","551.4000","546.7264","550.8250","1804060"
"2025-04-25 16:00:00","550.5500","551.0300","546.7264","551.0007","9185710"
"2025-04-25 15:45:00","549.5400","550.9100","549.0400","550.5200","5777635"
"2025-04-25 15:30:00","549.6300","549.8200","548.7600","549.5550","2458613"
"2025-04-25 15:15:00","549.9100","550.5306","549.5150","549.6450","1720112"
"2025-04-25 15:00:00","549.8000","550.6200","549.6400","549.9200","1364548"
"2025-04-25 14:45:00","550.5700","550.6650","549.3050","549.8400","1428437"
"2025-04-25 14:30:00","549.7500","550.7500","549.5800","550.5700","1494338"
"2025-04-25 14:15:00","548.8800","550.1500","548.7500","549.7400","1361470"
"2025-04-25 14:00:00","547.9000","549.3900","547.5350","548.8800","1689190"
"2025-04-25 13:45:00","549.1300","549.1300","546.7600","547.9100","2532262"
"2025-04-25 13:30:00","550.9600","550.9900","548.4405","549.1100","3330980"
"2025-04-25 13:15:00","549.9800","551.0500","549.6500","550.9744","2054806"
"2025-04-25 13:00:00","549.1200","550.0000","548.8100","549.9804","1380058"
"2025-04-25 12:45:00","549.0900","549.2000","547.9800","549.1000","1177758"
"2025-04-25 12:30:00","548.3500","549.1400","548.1600","549.1100","1070246"
"2025-04-25 12:15:00","547.5800","548.5700","547.4001","548.3300","1396775"
"2025-04-25 12:00:00","547.0900","547.6700","546.9600","547.5800","1061446"
"2025-04-25 11:45:00","545.9500","547.3452","545.7000","547.0700","745027"
"2025-04-25 11:30:00","546.4940","546.8800","545.7100","545.9000","904586"
"2025-04-25 11:15:00","547.1800","547.5000","546.2300","546.4600","1060500"
"2025-04-25 11:00:00","546.4700","547.3700","545.8600","547.1999","924131"
"2025-04-25 10:45:00","546.7500","547.0100","545.5200","546.4600","2096492"
"2025-04-25 10:30:00","544.6000","546.9400","543.6900","546.7765","1913962"
"2025-04-25 10:15:00","547.5500","547.8000","543.8900","544.5600","3078748"
"2025-04-25 10:00:00","544.9400","547.9300","544.8200","547.5600","2906904"
"2025-04-25 09:45:00","546.4300","546.9100","544.7200","544.8800","2276850"
"2025-04-25 09:30:00","546.6500","548.1142","545.6500","546.4200","2898183"
"2025-04-25 09:15:00","546.1500","546.8500","546.0000","546.7100","146747"
"2025-04-25 09:00:00","545.2500","546.4700","526.4100","546.1500","229578"
"2025-04-25 08:45:00","545.9100","546.6900","545.1000","545.2800","99874"
"2025-04-25 08:30:00","545.3900","546.4900","536.2450","545.9900","220092"
"2025-04-25 08:15:00","545.7000","546.4000","545.0800","545.4750","238941"
"2025-04-25 08:00:00","545.5000","550.8400","544.4904","545.6800","249243"
"2025-04-25 07:45:00","545.0200","545.7500","545.0000","545.5000","47214"
"2025-04-25 07:30:00","546.4300","546.5000","545.0000","545.0000","71009"
"2025-04-25 07:15:00","546.0700","546.7600","545.8900","546.5300","47043"
"2025-04-25 07:00:00","544.6200","546.1700","544.4000","546.0200","252969"
"2025-04-25 06:45:00","545.3900","545.5400","544.3300","544.8200","145415"
"2025-04-25 06:30:00","546.7200","547.2000","545.0800","545.3000","76415"
"2025-04-25 06:15:00","547.6900","549.3000","546.3900","546.7200","116883"
"2025-04-25 06:00:00","548.6800","548.6800","547.5400","547.9200","15528"
"2025-04-25 05:45:00","548.2500","548.8400","548.0500","548.6800","11237"
"2025-04-25 05:30:00","548.9300","548.9500","548.1300","548.2300","8843"
"2025-04-25 05:15:00","548.2000","549.0900","547.6200","548.9300","20465"
"2025-04-25 05:00:00","548.8400","548.9400","548.1800","548.3000","28948"
"2025-04-25 04:45:00","548.8600","549.4900","548.7000","548.7600","14118"
"2025-04-25 04:30:00","549.3400","549.4300","548.3900","548.9200","11794"
